id	project	Faculty	Countries	Website	Start Date	End Date	desc	Topics	Sponsors	Collaborators	Dept & School
1	COVID Treatment Quick Start Consortium	Merson, Michael	Kenya,Laos,Malawi,Rwanda,South Africa,Uganda,United States,Zambia,Zimbabwe	https://www.covidcollaborative.us/initiatives/quickstart-consortium	September 2022	Ongoing	COVID Collaborative and partners launched on September 7, 2022, the COVID Treatment Quick Start Consortium to bring new, highly effective COVID-19 oral antiviral treatments to high-risk populations in 10 low- and middle-income countries. Quick Start includes COVID Collaborative, Duke University, the Clinton Health Access Initiative, and Americares as implementing partners, with support from the Open Society Foundations, the Conrad N. Hilton Foundation, and Pfizer. Partner countries include Ghana, Kenya, Laos, Malawi, Nigeria, Rwanda, South Africa, Uganda, Zambia, and Zimbabwe.				
2	Ushiriki wa Vijana: Youth Engagement to End the HIV Epidemic in Tanzania	Dow, Dorothy	Tanzania		March 2022	Ongoing	There is increasing recognition of the importance of youth engagement in HIV research and programming.  This topic has been featured in many high profile reports such as the UNAIDS 2018 report Youth and HIV that provides guidance on how to meaningfully engage youth through a three-lens approach—fully engaging youth 1) as beneficiaries; 2) as partners; and 3) supporting youth as leaders.  Implementation science strategies must be incorporated to facilitate meaningful communication, collaboration and respect for incorporating the youth voice in establishing shared priorities and an effective policy agenda.  Understanding youth experiences as users of HIV prevention and treatment tools and the context in which they engage with evidence-based programs is a known critical factor for successful program implementation and sustainment.  This project aims to 1) Establish formal youth community advisory board (CAB) groups in each of the four study regions of Tanzania in which the Sauti ya Vijana Intervention is being delivered; 2) Complete a concept mapping exercise to identify the most critical factors that impact the implementation of HIV-related prevention and treatment programs for young people in Tanzania from the youth perspective; and finally 3) Incorporate chairpersons of the youth CABs within the current T-AHISA network.	Maternal, adolescent and child health,Implementation science			
3	The Aga Khan University Pakistan Initiative for Non-Communicable Diseases (AKUPI-NCD) Research Training Program		Pakistan		September 2021	Ongoing	To address the critical gap in the response to the non-communicable disease (NCD) epidemic, the Aga Khan University in partnership with Duke University has designed a comprehensive, integrated, multi-disciplinary training program to train the next generation of leaders in NCD research. This program, focused on cardio-cerebrovascular diseases and their shared risk factors, was awarded a research training grant by the U.S. National Institutes of Health.	Equity and inclusion,Digital health,Women's health,Non-communicable diseases,Cardiovascular disease,Data science,Implementation science	Fogarty International Center, NIH	Aga Khan University	
4	COVID Global Accountability Platform (COVID GAP)	Merson, Michael,Udayakumar, Krishna,Ogbuoji, Osondu	United States	https://covid19gap.org/	September 2021	Ongoing	The COVID Global Accountability Platform (COVID GAP), led by Duke University and COVID Collaborative, aims to improve and accelerate global pandemic response by serving as an independent source of insights and actionable recommendations, convening key stakeholders to galvanize actions and collaborations, and strengthening transparency and accountability	Health policy and systems,Innovation,COVID-19			
5	Tanzanian Adolescent HIV Prevention and Treatment Implementation Science Alliance (T-AHISA)	Dow, Dorothy	Tanzania	http://www.t-ahisa.org	May 2021	Ongoing	T-AHISA is a Tanzania based network branch of the global adolescent HIV prevention and treatment implementation science alliance (AHISA).  T-AHISA aims to bring together local stakeholders including key members from the Ministry of Health (policy makers),  implementers (government and non-governmental organizations), researchers (academic institutions), and youth (youth HIV advocates) who work to improve prevention and treatment of HIV among adolescents in Tanzania.  Together, we discuss evidence-based interventions, government priorities, local research findings, and ways in which implementation science research (ISR) can best move the adolescent HIV needle towards an AIDS free generation in our country.  As part of this initiative, we also strive to build the next cadre of ISR researchers and inform policy makers about the critical importance of ISR in adolescent HIV programs.	HIV/AIDS,Maternal, adolescent and child health,Implementation science	AHISA Small Collaborative Contracts		
6	Telehealth to Reduce Suicidality and lmprove HIV Care Engagement in Tanzania		Tanzania	https://reporter.nih.gov/search/kOLzXbe2vUu5hfUj4f4huQ/project-details/10257782	April 2021	Ongoing	This K08 Career Development Award will provide Dr. Knettel with the training and mentorship to become an independent clinical scientist focused on developing novel, yet scalable mental health interventions in resource-limited settings. The objective of the research is to assess the feasibility and acceptability of a 3-session, nurse-delivered telehealth intervention to reduce suicidality and improve HIV care engagement among adults living with HIV in the Kilimanjaro Region of Tanzania. Suicide is a leading cause of death among people living with HIV (PLWH) worldwide and mental health disorders are key contributors to poor HIV care engagement, lower quality of life, higher transmission risk, and increased mortality among PLWH. Conversely, connecting PLWH with targeted mental health support improves these critical health outcomes. Telehealth counseling represents a cost-effective, innovative approach to mental health treatment in low-resource settings such as Tanzania, with the potential to `leapfrog' less efficient approaches and expediently extend services. The study will include Aim 1: Identifying the desired characteristics of a telehealth intervention for suicidality and HIV care engagement in the Tanzanian clinical context, Aim 2: Refining intervention content with support from a local study advisory board in Tanzania, and Aim 3: Testing the telehealth model in a pilot randomized control trial. Given emerging evidence for telehealth approaches to improve access to treatment and reduce health disparities, the intervention has great potential to support NIMH strategic objectives to address mental health comorbidities and strengthen the HIV care continuum.	Health policy and systems,Digital health,Infectious diseases,HIV/AIDS,Mental health,Population health,Research methodology,Implementation science,Social determinants of health,Gender and sexual health,Impacts of race and culture	NIMH	Brandon A. Knettel,David B. Goldston,Michael V. Relf,Blandina T. Mmbaga	Duke University School of Nursing,Duke Global Health Institute
7	Sauti ya Vijana (SYV): A Mental Health Intervention to Improve HIV Outcomes Among Tanzanian Youth	Dow, Dorothy	Tanzania	http://sites.duke.edu/sautiyavijana	April 2021	Ongoing	Young people living with HIV (YPLWH, 10-24 years of age) are a growing population that experience unique mental health challenges that may compromise their HIV care. Despite the clear need, few evidence-based mental health interventions exist to address the difficulties faced by this important population. The long-term goal of our research is to provide developmentally appropriate, evidence-based mental health interventions that effectively prevent and treat HIV in young people, especially in low resource settings where the majority of the epidemic occurs. Sauti ya Vijana (SYV, The Voice of Youth), is a novel and innovative group-based mental health and life skills intervention designed with and for Tanzanian YPLWH to address the mental health and life challenges they have described in out prior research. The intervention consists of 10 group sessions (two joint with caregivers) and two individual sessions delivered by trained young adults living with HIV who have successfully transitioned to the adult clinic using a task sharing model that builds local capacity while overcoming the critical shortage of mental health professionals in this setting. SYV incorporates components of Trauma Informed-Cognitive Behavioral Therapy, Interpersonal Psychotherapy, and Motivational Interviewing that during this critical neurodevelopmental period when foundations of self and social regulation are realized, may help to prevent or dramatically reduce severity of mental health symptoms.	HIV/AIDS,Maternal, adolescent and child health,Mental health	NIMH		Department of pediatrics, School of Medicine
8	Adolescent Wellness Visits in Tanzania to increase HIV testing and counseling		Tanzania		January 2021	Ongoing		HIV/AIDS,Maternal, adolescent and child health			
9	Transforming and Sustaining: Wellbeing Practices for Teachers	Proeschold-Bell, Rae Jean,Whetten, Kathryn,Huynh, Hy V.	Cambodia,Kenya,Qatar		November 2020	Ongoing	Using a case study methodology, we will identify innovative practices for promoting teacher well-being and preventing teacher burnout in high-performing schools that are both well-resourced and low in resources in Kenya, Cambodia, and Qatar. We will examine state policies and local educational structures that correlate with teacher well-being. We will also conduct a multinational literature synthesis on correlates of teacher burnout, well-being interventions, and the relationship between teacher well-being and student outcomes.	Mental health,Occupational health	The Wellbeing Project,Qatar Foundation	ACE Africa Kenya,Development of Cambodia Children,WISE of the Qatar Foundation	
10	ACTIV-1 (COVID-19 therapeutic trial)	Tillekeratne, L Gayani	United States		October 2020	Ongoing	Therapeutic agents for COVID-19 are urgently needed. ACTIV-1 IM is a master protocol for a phase III clinical trial to evaluate multiple investigational immunomodulators for the treatment of moderately or severely ill patients infected with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The study is funded by the National Institutes of Health and the US program is coordinated by the Duke Clinical Research Institute.	COVID-19	None		
11	RADx-UP CDCC (COVID-19 diagnostics)	Tillekeratne, L Gayani	United States	https://radx-up.org/	October 2020	Ongoing	The overarching goal of the RADx-UP initiative is to understand the factors associated with disparities in COVID-19 morbidity and mortality and to lay the foundation to reduce disparities for those underserved and vulnerable populations who are disproportionately affected by, have the highest infection rates of, and/or are most at risk for complications or poor outcomes from the COVID-19 pandemic. The Testing Core for RadX-UP reviews protocols and ensures that diagnostic testing is conducted and reported in a rigorous and appropriate manner.	COVID-19			
12	Sepsis Characterization in Kilimanjaro (SICK)	Rubach, Matthew	Tanzania	https://reporter.nih.gov/project-details/10098876	September 2020	Ongoing	Sepsis is a leading cause of in-hospital death in high-income countries, and it likewise causes a formidable burden of disease in low-income countries, where in-hospital mortality for severe sepsis can exceed 60%. Building upon Duke University’s strong collaborative clinical research platform in Kilimanjaro, Tanzania, these studies will use data-driven clustering methods and Bayesian latent class models to define clinically meaningful subtypes of sepsis that are specific to the infectious disease epidemiology and population sub-structures of sub- Saharan Africa (sSA). In doing so, we seek to advance the long-term goal of improving detection, risk stratification and, eventually, tailored interventions for sepsis among adults in resource-limited settings. The rationale driving this project is that sepsis subtype characterization holds great promise for improving the evaluation, management and clinical investigation of sepsis in sSA. To perform our characterizations of adult sepsis subtypes, we will leverage existing samples and data from our research platform’s 2016-2019 severe febrile illness cohort to inform a two-year prospective observational study of sepsis admissions at district hospitals in Kilimanjaro. By developing a precision medicine-based approach to classify the key pathophysiologic subtypes of sepsis in sSA, this project promotes the US National Institutes of Health’s mission to uncover new knowledge that will lead to better health for everyone—in this case, better health for the most severely ill in the region with the highest burden of sepsis in the world.To achieve this, the project has set out SPECIFIC AIMS that will develop clinical phenotype clusters of adult sepsis derived from clinical bioinformatics using Bayesian statistics (Aim 1) as well as immunologic sepsis clusters based upon the molecular characterization of the host immune response to infection (Aim 2). We will integrate the approaches in Aim 1 and Aim 2 in order to identify robust and clinically meaningful subtypes of sepsis in Kilimanjaro (Aim 3). In Year 1, we will use the existing samples and data collected 2016-2019 to develop and refine the statistical and analytical models for our Aims. This will inform the analytical framework for the prospective sepsis patient cohort in Years 2-3, which will be the basis for both derivation and validation of the clinical and molecular sepsis subtype classifications. The clinical clusters and molecular characterizations discovered in Aim 1 and Aim 2 will also be compared to findings from clinical bioinformatic and gene expression signature analyses that have described sepsis subtypes in Europe and North America. The disease epidemiology of sepsis in sSA—high prevalence of advanced HIV infection and more diverse sepsis etiologies—as well as potential host genetic differences compared to European and North American sepsis patients necessitate that subtype identification be specifically derived and validated for application in sSA. Not only will this project identify subtypes that improve triage and tailored intervention design for sepsis in sSA—it will also establish a framework for sepsis research in a setting where the greatest gains are needed and where the greatest improvements in sepsis outcomes can indeed be made.	Infectious diseases	National Institute of Allergy and Infectious Dieseases		School of Medicine
