title,pub_date,company,drug,link
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2022-10-07,"Bluebird Bio, Inc.",Skysona (Elivaldogene Autotemcel),https://www.federalregister.gov/api/v1/documents/2022-21851?publication_date=2022-10-07
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2022-10-07,Albireo Ab,,https://www.federalregister.gov/api/v1/documents/2022-21865?publication_date=2022-10-07
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2022-09-06,"Biomarin Pharmaceutical, Inc.",,https://www.federalregister.gov/api/v1/documents/2022-19155?publication_date=2022-09-06
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2022-08-29,"Bluebird Bio, Inc.",Zynteglo (Betibeglogene Autotemcel),https://www.federalregister.gov/api/v1/documents/2022-18519?publication_date=2022-08-29
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2022-09-07,"Marinus Pharmaceuticals, Inc.",Ztalmy (Ganaxolone),https://www.federalregister.gov/api/v1/documents/2022-19276?publication_date=2022-09-07
Issuance of Priority Review Voucher; Material Threat Medical Countermeasure Product,2022-05-02,"Regeneron Pharmaceuticals, Inc.","Inmazeb (Atoltivimab, Maftivimab, And Odesivimab-Ebgn)",https://www.federalregister.gov/api/v1/documents/2022-09315?publication_date=2022-05-02
Issuance of Priority Review Voucher; Material Threat Medical Countermeasure Product,2022-04-29,"Gilead Sciences, Inc.",Veklury (Remdesivir),https://www.federalregister.gov/api/v1/documents/2022-09233?publication_date=2022-04-29
Issuance of Priority Review Voucher; Material Threat Medical Countermeasure Product,2022-02-17,,,https://www.federalregister.gov/api/v1/documents/2022-03420?publication_date=2022-02-17
Issuance of Priority Review Voucher; Material Threat Medical Countermeasure Product,2022-02-17,,,https://www.federalregister.gov/api/v1/documents/2022-03426?publication_date=2022-02-17
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2021-10-27,"Enzyvant Therapeutics, Gmbh",Rethymic (Allogeneic Processed Thymus Tissue-Agdc),https://www.federalregister.gov/api/v1/documents/2021-23336?publication_date=2021-10-27
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2021-09-30,"Enzyvant Therapeutics, Gmbh",Rethymic (Allogeneic Processed Thymus Tissue-Agdc),https://www.federalregister.gov/api/v1/documents/2021-21311?publication_date=2021-09-30
Issuance of Priority Review Voucher; Rare Pediatric Disease Product; Withdrawal,2021-10-06,,,https://www.federalregister.gov/api/v1/documents/2021-21823?publication_date=2021-10-06
Issuance of Priority Review Voucher; Material Threat Medical Countermeasure Product,2021-07-13,"Stratatech, A Mallinckrodt Company",Stratagraft (Allogeneic Cultured Keratinocytes And Dermal Fibroblasts In Murine Collagen--Dsat),https://www.federalregister.gov/api/v1/documents/2021-14779?publication_date=2021-07-13
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2021-07-02,"Prometic Bioproduction, Inc.","Ryplazim (Plasminogen, Human-Tvmh)",https://www.federalregister.gov/api/v1/documents/2021-14191?publication_date=2021-07-02
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2021-03-12,"Origin Biosciences, Inc.",Nulibry (Fosdenopterin),https://www.federalregister.gov/api/v1/documents/2021-05207?publication_date=2021-03-12
